Mon Dec 10 19:43:57 2018    ./profile.stats

         1106127434 function calls (1105796362 primitive calls) in 389.830 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    51880    0.043    0.000    0.043    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1344(getEffectiveLevel)
   103760    0.033    0.000    0.042    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/_binary.py:17(i8)
   319075    0.042    0.000    0.042    0.000 {repr}
    25940    0.042    0.000    0.042    0.000 {method 'copy' of 'ImagingCore' objects}
    25940    0.034    0.000    0.041    0.000 {method 'sort' of 'list' objects}
    30889    0.031    0.000    0.040    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:911(load_int)
    25940    0.039    0.000    0.039    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/TiffImagePlugin.py:266(_accept)
    25940    0.039    0.000    0.039    0.000 {PIL._imaging.zip_decoder}
        1    0.001    0.001    0.037    0.037 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/type_check.py:3(<module>)
        1    0.015    0.015    0.037    0.037 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/__init__.py:1(<module>)
    95261    0.028    0.000    0.037    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:250(put)
    13791    0.025    0.000    0.035    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:1027(load_dict)
    25940    0.021    0.000    0.033    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/ImageFile.py:517(_safe_read)
    13791    0.024    0.000    0.033    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:1043(_instantiate)
   454532    0.032    0.000    0.032    0.000 {id}
    30889    0.016    0.000    0.031    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:437(save_int)
        1    0.005    0.005    0.029    0.029 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/__init__.py:15(<module>)
    77820    0.023    0.000    0.029    0.000 ./core.py:244(countNodes)
   264010    0.028    0.000    0.028    0.000 {method 'pop' of 'list' objects}
        1    0.005    0.005    0.026    0.026 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/multiprocessing/__init__.py:44(<module>)
    25940    0.025    0.000    0.025    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:2497(_decompression_bomb_check)
   264010    0.023    0.000    0.023    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:333(persistent_id)
   259403    0.023    0.000    0.023    0.000 {abs}
    25940    0.022    0.000    0.022    0.000 {method 'setimage' of 'ImagingDecoder' objects}
    46689    0.022    0.000    0.022    0.000 {math.exp}
    77820    0.022    0.000    0.022    0.000 {method 'pixel_access' of 'ImagingCore' objects}
    13786    0.007    0.000    0.020    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:473(save_float)
        1    0.004    0.004    0.019    0.019 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/multiprocessing/util.py:35(<module>)
    25940    0.019    0.000    0.019    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:98(__init__)
    27582    0.018    0.000    0.018    0.000 {method 'iteritems' of 'dict' objects}
    26187    0.018    0.000    0.018    0.000 {min}
    40243    0.014    0.000    0.017    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:870(marker)
    25940    0.016    0.000    0.017    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:360(preinit)
    13791    0.008    0.000    0.017    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:1122(find_class)
   110176    0.016    0.000    0.016    0.000 {method 'startswith' of 'str' objects}
    25940    0.016    0.000    0.016    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:531(_accept)
    13786    0.011    0.000    0.015    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:953(load_float)
    25940    0.015    0.000    0.015    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/JpegImagePlugin.py:292(_accept)
    25940    0.015    0.000    0.015    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:128(close)
        1    0.003    0.003    0.014    0.014 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/JpegImagePlugin.py:35(<module>)
    51880    0.014    0.000    0.014    0.000 {method 'tell' of 'file' objects}
        1    0.010    0.010    0.014    0.014 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:27(<module>)
    12661    0.008    0.000    0.014    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:1022(load_list)
        1    0.002    0.002    0.013    0.013 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/testing/__init__.py:7(<module>)
    40243    0.009    0.000    0.012    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:1250(load_mark)
        1    0.002    0.002    0.012    0.012 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/TiffImagePlugin.py:42(<module>)
    72252    0.011    0.000    0.011    0.000 {intern}
        1    0.002    0.002    0.010    0.010 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/__init__.py:45(<module>)
   103968    0.009    0.000    0.009    0.000 {ord}
        1    0.005    0.005    0.008    0.008 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/random.py:40(<module>)
    55018    0.008    0.000    0.008    0.000 {method 'endswith' of 'str' objects}
        1    0.002    0.002    0.008    0.008 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:1(<module>)
      139    0.000    0.000    0.007    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/re.py:230(_compile)
    25940    0.007    0.000    0.007    0.000 {method 'copy' of 'dict' objects}
    13793    0.007    0.000    0.007    0.000 {__import__}
        1    0.005    0.005    0.007    0.007 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/subprocess.py:387(<module>)
        1    0.004    0.004    0.007    0.007 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/npyio.py:1(<module>)
       22    0.000    0.000    0.007    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/re.py:192(compile)
       21    0.000    0.000    0.007    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:567(compile)
    25940    0.007    0.000    0.007    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/ImageFile.py:66(_tilesort)
        1    0.006    0.006    0.007    0.007 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/polynomial.py:55(<module>)
        1    0.001    0.001    0.006    0.006 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/fractions.py:4(<module>)
        1    0.002    0.002    0.006    0.006 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/index_tricks.py:1(<module>)
        1    0.001    0.001    0.005    0.005 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ctypeslib.py:51(<module>)
        1    0.000    0.000    0.005    0.005 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/polynomial.py:4(<module>)
        1    0.003    0.003    0.005    0.005 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/collections.py:1(<module>)
       21    0.000    0.000    0.005    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:706(parse)
        1    0.001    0.001    0.004    0.004 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/linalg/__init__.py:44(<module>)
        1    0.003    0.003    0.004    0.004 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/case.py:1(<module>)
        1    0.003    0.003    0.004    0.004 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/chebyshev.py:87(<module>)
    60/21    0.000    0.000    0.004    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:317(_parse_sub)
    66/21    0.001    0.000    0.004    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:395(_parse)
    25940    0.004    0.000    0.004    0.000 {method 'cleanup' of 'ImagingDecoder' objects}
        1    0.003    0.003    0.004    0.004 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/__init__.py:38(<module>)
        1    0.002    0.002    0.004    0.004 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numeric.py:1(<module>)
